Statistic Label,Month,County,Driving Test Categories,UNIT,VALUE
Driving Test Pass Rate,2024 May,Co. Galway,Category B (Car or light van),%,56.1
Driving Test Pass Rate,2024 June,Co. Donegal,Category B (Car or light van),%,55.7
Driving Test Pass Rate,2024 June,Co. Dublin,Category B (Car or light van),%,43.6
Driving Test Pass Rate,2024 June,Co. Galway,Category B (Car or light van),%,57.5
Driving Test Pass Rate,2024 July,Co. Donegal,Category B (Car or light van),%,58.4
Driving Test Pass Rate,2024 July,Co. Dublin,Category B (Car or light van),%,42.6
Driving Test Pass Rate,2024 July,Co. Galway,Category B (Car or light van),%,59.2
Driving Test Pass Rate,2024 August,Co. Donegal,Category B (Car or light van),%,51.2
Driving Test Pass Rate,2024 August,Co. Dublin,Category B (Car or light van),%,43.6
Driving Test Pass Rate,2024 August,Co. Galway,Category B (Car or light van),%,55.9
Driving Test Pass Rate,2024 September,Co. Donegal,Category B (Car or light van),%,57.5
Driving Test Pass Rate,2024 September,Co. Dublin,Category B (Car or light van),%,41.2
Driving Test Pass Rate,2024 September,Co. Galway,Category B (Car or light van),%,55.2
Driving Test Pass Rate,2024 October,Co. Donegal,Category B (Car or light van),%,57.5
Driving Test Pass Rate,2024 October,Co. Dublin,Category B (Car or light van),%,41.5
Driving Test Pass Rate,2024 October,Co. Galway,Category B (Car or light van),%,56.4
Driving Test Pass Rate,2024 November,Co. Donegal,Category B (Car or light van),%,58.4
Driving Test Pass Rate,2024 November,Co. Dublin,Category B (Car or light van),%,42.8
Driving Test Pass Rate,2024 November,Co. Galway,Category B (Car or light van),%,56
Driving Test Pass Rate,2024 December,Co. Donegal,Category B (Car or light van),%,53
Driving Test Pass Rate,2024 December,Co. Dublin,Category B (Car or light van),%,43.7
Driving Test Pass Rate,2024 December,Co. Galway,Category B (Car or light van),%,58.5
